trad. chinese	kyuujitai	simp. chinese	shinjitai
	圍		囲
澀	澁		渋
	壘		塁
	應		応
	圓		円
窗	窻		窓
個	箇	个	ヶ
	賣		売
	圖		図
	國		国
	學		学
	樂		楽
	藥		薬
	覺		覚
	廣		広
	壓		圧
	惡		悪
	數		数
	龍		竜
	澤		沢
	譯		訳
	驛		駅
	釋		釈
	團		団
	專		専
	惠		恵
	會		会
	畫		画
	繪		絵
	櫻		桜
	舊		旧
	兒		児
	對		対
	臺		台
	鐵		鉄
	錢		銭
	戰		戦
	單		単
	榮		栄
	營		営
	發		発
	價		価
	莊		荘
	假		仮
	檢		検
	齒		歯
	氣		気
	據		拠
	擇		択
	聲		声
	當		当
	變		変
	辯		弁
	辨		弁
	藝		芸
	轉		転
	傳		伝
	擴		拡
	將		将
	參		参
	邊		辺
	區		区
	權		権
	爲		為
	醫		医
	鹽		塩
	關		関
	龜		亀
	續		続
	繼		継
	劍		剣
	礦		鉱
	號		号
	蟲		虫
	雜		雑
	碎		砕
	慘		惨
	殘		残
	贊		賛
	讚		讃
	靑		青
	插		挿
	裝		装
	產		産
	絲		糸
	實		実
	寫		写
	壽		寿
	從		従
	縱		縦
	收		収
	廚		厨
	獸		獣
	處		処
	肅		粛
	證		証
	燒		焼
	條		条
	拂		払
	佛		仏
	瓣		弁
	兩		両
	勞		労
	滿		満
	瀧		滝
